1,6.0
1,6.0
109809568,6.0
90175833,6.0
84233296,6.0
88754955,6.0
97606096,6.0
107549737,6.0
136932642,6.0
149724000,6.0
149777793,6.0
154100149,6.0
153722744,6.0
154364514,6.0
160606962,6.0
159953364,6.0
159713037,6.0
162291062,6.0
160145743,6.0
164130175,6.0
166361296,6.0
164154572,6.0
170214647,6.0
176679189,6.0
186816661,6.0
196770300,6.0
198776165,6.0
195403408,6.0
188769816,6.0
179685828,6.0
152752687,6.0
132242964,6.0
111436295,6.0
99048019,6.0
88715112,6.0
81195061,6.0
77244599,6.0
81671655,6.0
95330775,6.0
102867076,6.0
111010906,6.0
133216241,6.0
157908752,6.0
155042112,6.0
157599908,6.0
160772848,6.0
161737833,6.0
1,6.0
