1,2.0
1,2.0
1,2.0
1,2.0
51468520,2.0
52715274,2.0
54936075,2.0
52391723,2.0
49373179,2.0
45176326,2.0
44639638,2.0
42719664,2.0
42152884,2.0
41285577,2.0
44480835,2.0
44025696,2.0
44876006,2.0
46913155,2.0
48087284,2.0
49754809,2.0
52296655,2.0
53345360,2.0
56335827,2.0
63081633,2.0
66104054,2.0
70287489,2.0
72131390,2.0
75972734,2.0
72902356,2.0
72310665,2.0
74401621,2.0
77203271,2.0
76860054,2.0
76680944,2.0
77503958,2.0
78462302,2.0
78204262,2.0
75742065,2.0
75101555,2.0
76403151,2.0
77875205,2.0
77754936,2.0
79083669,2.0
78690070,2.0
79702382,2.0
79915879,2.0
79702382,2.0
80066888,2.0
80101430,2.0
79818625,2.0
80376579,2.0
80314798,2.0
81688654,2.0
81526605,2.0
80602891,2.0
80041541,2.0
81040750,2.0
81598600,2.0
81858744,2.0
82366406,2.0
83013997,2.0
83383345,2.0
83303709,2.0
81622170,2.0
82387393,2.0
83285640,2.0
83944674,2.0
85242815,2.0
85843767,2.0
87102712,2.0
88419535,2.0
90160902,2.0
90920898,2.0
93284113,2.0
95689038,2.0
96636661,2.0
98380013,2.0
99186971,2.0
99490269,2.0
99558664,2.0
97766947,2.0
98179053,2.0
98191606,2.0
96219563,2.0
96065813,2.0
94785720,2.0
93263394,2.0
90218917,2.0
89367837,2.0
84887759,2.0
81892049,2.0
77999145,2.0
73264614,2.0
68755066,2.0
66915380,2.0
63565719,2.0
58491685,2.0
56826284,2.0
54622397,2.0
53227862,2.0
50485202,2.0
47994141,2.0
46690484,2.0
44982182,2.0
43758852,2.0
41274172,2.0
41162177,2.0
40135874,2.0
38790244,2.0
38474127,2.0
38274443,2.0
39724771,2.0
40322656,2.0
41716936,2.0
43001433,2.0
45034817,2.0
48006821,2.0
48588348,2.0
50429849,2.0
51801128,2.0
53363956,2.0
54891921,2.0
55878156,2.0
61972256,2.0
63382334,2.0
68791368,2.0
72396519,2.0
77104554,2.0
78373477,2.0
76937731,2.0
77050856,2.0
78039177,2.0
80439798,2.0
78381007,2.0
78779644,2.0
79479030,2.0
81306285,2.0
80381830,2.0
79378666,2.0
79355497,2.0
80985942,2.0
82551391,2.0
19872728,2.0
1,2.0
