t,goodput_bps,wire_bps
0.500,0.0,0.0
1.000,0.0,0.0
1.500,0.0,0.0
2.000,0.0,0.0
2.500,0.0,0.0
3.000,0.0,0.0
3.500,0.0,0.0
4.000,0.0,0.0
4.500,0.0,0.0
5.000,0.0,0.0
5.500,0.0,0.0
6.000,0.0,0.0
6.500,0.0,0.0
7.000,0.0,0.0
7.500,0.0,0.0
8.000,0.0,0.0
8.500,256816000.0,262319200.0
9.000,257331200.0,262845440.0
9.500,257353600.0,262868320.0
10.000,257331200.0,262845440.0
10.500,263558400.0,269206080.0
11.000,263580800.0,269228960.0
11.500,263558400.0,269206080.0
12.000,263580800.0,269228960.0
12.500,274646400.0,280531680.0
13.000,274691200.0,280577440.0
13.500,274668800.0,280554560.0
14.000,274668800.0,280554560.0
14.500,261968000.0,267581600.0
15.000,261968000.0,267581600.0
15.500,261945600.0,267558720.0
16.000,261968000.0,267581600.0
16.500,246892800.0,252183360.0
17.000,246870400.0,252160480.0
17.500,246848000.0,252137600.0
18.000,246870400.0,252160480.0
18.500,225904000.0,230744800.0
19.000,225881600.0,230721920.0
19.500,225881600.0,230721920.0
20.000,225904000.0,230744800.0
20.500,223171200.0,227953440.0
21.000,223216000.0,227999200.0
21.500,223193600.0,227976320.0
22.000,223193600.0,227976320.0
22.500,213606400.0,218183680.0
23.000,213584000.0,218160800.0
23.500,213606400.0,218183680.0
24.000,213606400.0,218183680.0
24.500,210761600.0,215277920.0
25.000,210761600.0,215277920.0
25.500,210761600.0,215277920.0
26.000,210761600.0,215277920.0
26.500,206416000.0,210839200.0
27.000,206438400.0,210862080.0
27.500,206438400.0,210862080.0
28.000,206416000.0,210839200.0
28.500,222364800.0,227129760.0
29.000,222409600.0,227175520.0
29.500,222409600.0,227175520.0
30.000,222387200.0,227152640.0
30.500,220124800.0,224841760.0
31.000,220124800.0,224841760.0
31.500,220124800.0,224841760.0
32.000,220147200.0,224864640.0
32.500,224336000.0,229143200.0
33.000,224380800.0,229188960.0
33.500,224380800.0,229188960.0
34.000,224380800.0,229188960.0
34.500,234550400.0,239576480.0
35.000,234572800.0,239599360.0
35.500,234550400.0,239576480.0
36.000,234572800.0,239599360.0
36.500,240419200.0,245571040.0
37.000,240419200.0,245571040.0
37.500,240441600.0,245593920.0
38.000,240441600.0,245593920.0
38.500,248752000.0,254082400.0
39.000,248774400.0,254105280.0
39.500,248774400.0,254105280.0
40.000,248774400.0,254105280.0
40.500,261430400.0,267032480.0
41.000,261475200.0,267078240.0
41.500,261497600.0,267101120.0
42.000,261475200.0,267078240.0
42.500,266694400.0,272409280.0
43.000,266716800.0,272432160.0
43.500,266716800.0,272432160.0
44.000,266739200.0,272455040.0
44.500,281635200.0,287670240.0
45.000,281680000.0,287716000.0
45.500,281680000.0,287716000.0
46.000,281657600.0,287693120.0
46.500,315347200.0,322104640.0
47.000,315392000.0,322150400.0
47.500,315414400.0,322173280.0
48.000,315392000.0,322150400.0
48.500,330489600.0,337571520.0
49.000,330512000.0,337594400.0
49.500,330534400.0,337617280.0
50.000,330512000.0,337594400.0
50.500,351388800.0,358918560.0
51.000,351433600.0,358964320.0
51.500,351433600.0,358964320.0
52.000,351456000.0,358987200.0
52.500,360617600.0,368345120.0
53.000,360662400.0,368390880.0
53.500,360662400.0,368390880.0
54.000,360662400.0,368390880.0
54.500,379814400.0,387953280.0
55.000,379859200.0,387999040.0
55.500,379859200.0,387999040.0
56.000,379881600.0,388021920.0
56.500,364515200.0,372326240.0
57.000,364515200.0,372326240.0
57.500,364515200.0,372326240.0
58.000,364515200.0,372326240.0
58.500,361558400.0,369306080.0
59.000,361558400.0,369306080.0
59.500,361558400.0,369306080.0
60.000,361558400.0,369306080.0
60.500,371974400.0,379945280.0
61.000,372019200.0,379991040.0
61.500,371996800.0,379968160.0
62.000,372019200.0,379991040.0
62.500,385974400.0,394245280.0
63.000,386019200.0,394291040.0
63.500,386019200.0,394291040.0
64.000,386019200.0,394291040.0
64.500,384294400.0,392529280.0
65.000,384294400.0,392529280.0
65.500,384294400.0,392529280.0
66.000,384316800.0,392552160.0
66.500,383376000.0,391591200.0
67.000,383398400.0,391614080.0
67.500,383420800.0,391636960.0
68.000,383398400.0,391614080.0
68.500,387497600.0,395801120.0
69.000,387520000.0,395824000.0
69.500,387520000.0,395824000.0
70.000,387520000.0,395824000.0
70.500,392291200.0,400697440.0
71.000,392313600.0,400720320.0
71.500,392291200.0,400697440.0
72.000,392313600.0,400720320.0
72.500,390992000.0,399370400.0
73.000,391036800.0,399416160.0
73.500,391014400.0,399393280.0
74.000,391014400.0,399393280.0
74.500,378739200.0,386855040.0
75.000,378716800.0,386832160.0
75.500,378716800.0,386832160.0
76.000,378694400.0,386809280.0
76.500,375491200.0,383537440.0
77.000,375513600.0,383560320.0
77.500,375513600.0,383560320.0
78.000,375513600.0,383560320.0
78.500,381987200.0,390172640.0
79.000,382032000.0,390218400.0
79.500,382009600.0,390195520.0
80.000,382009600.0,390195520.0
80.500,389356800.0,397700160.0
81.000,389379200.0,397723040.0
81.500,389379200.0,397723040.0
82.000,389379200.0,397723040.0
82.500,388774400.0,397105280.0
83.000,388774400.0,397105280.0
83.500,388774400.0,397105280.0
84.000,388796800.0,397128160.0
84.500,395404800.0,403877760.0
85.000,395427200.0,403900640.0
85.500,395404800.0,403877760.0
86.000,395427200.0,403900640.0
86.500,393456000.0,401887200.0
87.000,393456000.0,401887200.0
87.500,393433600.0,401864320.0
88.000,393456000.0,401887200.0
88.500,398496000.0,407035200.0
89.000,398496000.0,407035200.0
89.500,398518400.0,407058080.0
90.000,398496000.0,407035200.0
90.500,399571200.0,408133440.0
91.000,399593600.0,408156320.0
91.500,399571200.0,408133440.0
92.000,399593600.0,408156320.0
92.500,398496000.0,407035200.0
93.000,398496000.0,407035200.0
93.500,398518400.0,407058080.0
94.000,398496000.0,407035200.0
94.500,400310400.0,408888480.0
95.000,400332800.0,408911360.0
95.500,400332800.0,408911360.0
96.000,400332800.0,408911360.0
96.500,400489600.0,409071520.0
97.000,400489600.0,409071520.0
97.500,400512000.0,409094400.0
98.000,400489600.0,409071520.0
98.500,399078400.0,407630080.0
99.000,399078400.0,407630080.0
99.500,399100800.0,407652960.0
100.000,399078400.0,407630080.0
100.500,401856000.0,410467200.0
101.000,401878400.0,410490080.0
101.500,401878400.0,410490080.0
102.000,401900800.0,410512960.0
102.500,401564800.0,410169760.0
103.000,401564800.0,410169760.0
103.500,401587200.0,410192640.0
104.000,401587200.0,410192640.0
104.500,408419200.0,417171040.0
105.000,408441600.0,417193920.0
105.500,408441600.0,417193920.0
106.000,408441600.0,417193920.0
106.500,407612800.0,416347360.0
107.000,407635200.0,416370240.0
107.500,407635200.0,416370240.0
108.000,407612800.0,416347360.0
108.500,403020800.0,411656960.0
109.000,402998400.0,411634080.0
109.500,402998400.0,411634080.0
110.000,403020800.0,411656960.0
110.500,400198400.0,408774080.0
111.000,400220800.0,408796960.0
111.500,400198400.0,408774080.0
112.000,400220800.0,408796960.0
112.500,405193600.0,413876320.0
113.000,405193600.0,413876320.0
113.500,405216000.0,413899200.0
114.000,405216000.0,413899200.0
114.500,407971200.0,416713440.0
115.000,407993600.0,416736320.0
115.500,407993600.0,416736320.0
116.000,408016000.0,416759200.0
116.500,409292800.0,418063360.0
117.000,409292800.0,418063360.0
117.500,409292800.0,418063360.0
118.000,409292800.0,418063360.0
118.500,411801600.0,420625920.0
119.000,411824000.0,420648800.0
119.500,411824000.0,420648800.0
120.000,411846400.0,420671680.0
120.500,415049600.0,423943520.0
121.000,415072000.0,423966400.0
121.500,415094400.0,423989280.0
122.000,415072000.0,423966400.0
122.500,416886400.0,425819680.0
123.000,416908800.0,425842560.0
123.500,416931200.0,425865440.0
124.000,416908800.0,425842560.0
124.500,416505600.0,425430720.0
125.000,416505600.0,425430720.0
125.500,416528000.0,425453600.0
126.000,416505600.0,425430720.0
126.500,408128000.0,416873600.0
127.000,408083200.0,416827840.0
127.500,408105600.0,416850720.0
128.000,408105600.0,416850720.0
128.500,411913600.0,420740320.0
129.000,411936000.0,420763200.0
129.500,411936000.0,420763200.0
130.000,411913600.0,420740320.0
130.500,416438400.0,425362080.0
131.000,416438400.0,425362080.0
131.500,416416000.0,425339200.0
132.000,416438400.0,425362080.0
132.500,419708800.0,428702560.0
133.000,419731200.0,428725440.0
133.500,419731200.0,428725440.0
134.000,419731200.0,428725440.0
134.500,426182400.0,435314880.0
135.000,426227200.0,435360640.0
135.500,426204800.0,435337760.0
136.000,426204800.0,435337760.0
136.500,429206400.0,438403680.0
137.000,429228800.0,438426560.0
137.500,429206400.0,438403680.0
138.000,429228800.0,438426560.0
138.500,435478400.0,444810080.0
139.000,435500800.0,444832960.0
139.500,435500800.0,444832960.0
140.000,435523200.0,444855840.0
140.500,442064000.0,451536800.0
141.000,442086400.0,451559680.0
141.500,442108800.0,451582560.0
142.000,442086400.0,451559680.0
142.500,450777600.0,460437120.0
143.000,450822400.0,460482880.0
143.500,450822400.0,460482880.0
144.000,450800000.0,460460000.0
144.500,454585600.0,464326720.0
145.000,454608000.0,464349600.0
145.500,454585600.0,464326720.0
146.000,454608000.0,464349600.0
146.500,466368000.0,476361600.0
147.000,466412800.0,476407360.0
147.500,466435200.0,476430240.0
148.000,466412800.0,476407360.0
148.500,478419200.0,488671040.0
149.000,478441600.0,488693920.0
149.500,478441600.0,488693920.0
150.000,478464000.0,488716800.0
150.500,483145600.0,493498720.0
151.000,483190400.0,493544480.0
151.500,483168000.0,493521600.0
152.000,483168000.0,493521600.0
152.500,491881600.0,502421920.0
153.000,491881600.0,502421920.0
153.500,491904000.0,502444800.0
154.000,491904000.0,502444800.0
154.500,495891200.0,506517440.0
155.000,495936000.0,506563200.0
155.500,495913600.0,506540320.0
156.000,495936000.0,506563200.0
156.500,497436800.0,508096160.0
157.000,497436800.0,508096160.0
157.500,497459200.0,508119040.0
158.000,497436800.0,508096160.0
158.500,497795200.0,508462240.0
159.000,497795200.0,508462240.0
159.500,497795200.0,508462240.0
160.000,497795200.0,508462240.0
160.500,488835200.0,499310240.0
161.000,488835200.0,499310240.0
161.500,488812800.0,499287360.0
162.000,488835200.0,499310240.0
162.500,490896000.0,501415200.0
163.000,490896000.0,501415200.0
163.500,490896000.0,501415200.0
164.000,490918400.0,501438080.0
164.500,490918400.0,501438080.0
165.000,490963200.0,501483840.0
165.500,490940800.0,501460960.0
166.000,490940800.0,501460960.0
166.500,481129600.0,491439520.0
167.000,481084800.0,491393760.0
167.500,481107200.0,491416640.0
168.000,481107200.0,491416640.0
168.500,480323200.0,490615840.0
169.000,480323200.0,490615840.0
169.500,480345600.0,490638720.0
170.000,480323200.0,490615840.0
170.500,473939200.0,484095040.0
171.000,473939200.0,484095040.0
171.500,473939200.0,484095040.0
172.000,473939200.0,484095040.0
172.500,466323200.0,476315840.0
173.000,466323200.0,476315840.0
173.500,466323200.0,476315840.0
174.000,466300800.0,476292960.0
174.500,451113600.0,460780320.0
175.000,451113600.0,460780320.0
175.500,451091200.0,460757440.0
176.000,451113600.0,460780320.0
176.500,446835200.0,456410240.0
177.000,446835200.0,456410240.0
177.500,446857600.0,456433120.0
178.000,446835200.0,456410240.0
178.500,424457600.0,433553120.0
179.000,424435200.0,433530240.0
179.500,424435200.0,433530240.0
180.000,424435200.0,433530240.0
180.500,409494400.0,418269280.0
181.000,409472000.0,418246400.0
181.500,409449600.0,418223520.0
182.000,409472000.0,418246400.0
182.500,390028800.0,398386560.0
183.000,390006400.0,398363680.0
183.500,389984000.0,398340800.0
184.000,390006400.0,398363680.0
184.500,366352000.0,374202400.0
185.000,366329600.0,374179520.0
185.500,366329600.0,374179520.0
186.000,366307200.0,374156640.0
186.500,343840000.0,351208000.0
187.000,343772800.0,351139360.0
187.500,343772800.0,351139360.0
188.000,343795200.0,351162240.0
188.500,334588800.0,341758560.0
189.000,334566400.0,341735680.0
189.500,334588800.0,341758560.0
190.000,334566400.0,341735680.0
190.500,317878400.0,324690080.0
191.000,317811200.0,324621440.0
191.500,317833600.0,324644320.0
192.000,317833600.0,324644320.0
192.500,292499200.0,298767040.0
193.000,292454400.0,298721280.0
193.500,292476800.0,298744160.0
194.000,292454400.0,298721280.0
194.500,284121600.0,290209920.0
195.000,284144000.0,290232800.0
195.500,284144000.0,290232800.0
196.000,284121600.0,290209920.0
196.500,273123200.0,278975840.0
197.000,273123200.0,278975840.0
197.500,273100800.0,278952960.0
198.000,273123200.0,278975840.0
198.500,266134400.0,271837280.0
199.000,266134400.0,271837280.0
199.500,266134400.0,271837280.0
200.000,266156800.0,271860160.0
200.500,252448000.0,257857600.0
201.000,252425600.0,257834720.0
201.500,252425600.0,257834720.0
202.000,252425600.0,257834720.0
202.500,239993600.0,245136320.0
203.000,239971200.0,245113440.0
203.500,239971200.0,245113440.0
204.000,239971200.0,245113440.0
204.500,233452800.0,238455360.0
205.000,233452800.0,238455360.0
205.500,233452800.0,238455360.0
206.000,233452800.0,238455360.0
206.500,224918400.0,229738080.0
207.000,224918400.0,229738080.0
207.500,224896000.0,229715200.0
208.000,224918400.0,229738080.0
208.500,218803200.0,223491840.0
209.000,218803200.0,223491840.0
209.500,218780800.0,223468960.0
210.000,218803200.0,223491840.0
210.500,206393600.0,210816320.0
211.000,206371200.0,210793440.0
211.500,206371200.0,210793440.0
212.000,206371200.0,210793440.0
212.500,205811200.0,210221440.0
213.000,205811200.0,210221440.0
213.500,205811200.0,210221440.0
214.000,205811200.0,210221440.0
214.500,200659200.0,204959040.0
215.000,200681600.0,204981920.0
215.500,200681600.0,204981920.0
216.000,200681600.0,204981920.0
216.500,193961600.0,198117920.0
217.000,193939200.0,198095040.0
217.500,193961600.0,198117920.0
218.000,193939200.0,198095040.0
218.500,192371200.0,196493440.0
219.000,192371200.0,196493440.0
219.500,192371200.0,196493440.0
220.000,192371200.0,196493440.0
220.500,191363200.0,195463840.0
221.000,191363200.0,195463840.0
221.500,191363200.0,195463840.0
222.000,191385600.0,195486720.0
222.500,198598400.0,202854080.0
223.000,198620800.0,202876960.0
223.500,198620800.0,202876960.0
224.000,198620800.0,202876960.0
224.500,201600000.0,205920000.0
225.000,201600000.0,205920000.0
225.500,201622400.0,205942880.0
226.000,201622400.0,205942880.0
226.500,208566400.0,213035680.0
227.000,208566400.0,213035680.0
227.500,208588800.0,213058560.0
228.000,208588800.0,213058560.0
228.500,214995200.0,219602240.0
229.000,214995200.0,219602240.0
229.500,215017600.0,219625120.0
230.000,214995200.0,219602240.0
230.500,225164800.0,229989760.0
231.000,225164800.0,229989760.0
231.500,225187200.0,230012640.0
232.000,225164800.0,229989760.0
232.500,239993600.0,245136320.0
233.000,240016000.0,245159200.0
233.500,240038400.0,245182080.0
234.000,240038400.0,245182080.0
234.500,242928000.0,248133600.0
235.000,242950400.0,248156480.0
235.500,242928000.0,248133600.0
236.000,242950400.0,248156480.0
236.500,252112000.0,257514400.0
237.000,252156800.0,257560160.0
237.500,252156800.0,257560160.0
238.000,252156800.0,257560160.0
238.500,258966400.0,264515680.0
239.000,259011200.0,264561440.0
239.500,259011200.0,264561440.0
240.000,258988800.0,264538560.0
240.500,266806400.0,272523680.0
241.000,266828800.0,272546560.0
241.500,266806400.0,272523680.0
242.000,266828800.0,272546560.0
242.500,274444800.0,280325760.0
243.000,274444800.0,280325760.0
243.500,274467200.0,280348640.0
244.000,274467200.0,280348640.0
244.500,279372800.0,285359360.0
245.000,279395200.0,285382240.0
245.500,279395200.0,285382240.0
246.000,279395200.0,285382240.0
246.500,309792000.0,316430400.0
247.000,309859200.0,316499040.0
247.500,309859200.0,316499040.0
248.000,309859200.0,316499040.0
248.500,316892800.0,323683360.0
249.000,316915200.0,323706240.0
249.500,316892800.0,323683360.0
250.000,316915200.0,323706240.0
250.500,343907200.0,351276640.0
251.000,343952000.0,351322400.0
251.500,343952000.0,351322400.0
252.000,343974400.0,351345280.0
252.500,361939200.0,369695040.0
253.000,361961600.0,369717920.0
253.500,361984000.0,369740800.0
254.000,361984000.0,369740800.0
254.500,385481600.0,393741920.0
255.000,385526400.0,393787680.0
255.500,385526400.0,393787680.0
256.000,385526400.0,393787680.0
256.500,391843200.0,400239840.0
257.000,391865600.0,400262720.0
257.500,391888000.0,400285600.0
258.000,391865600.0,400262720.0
258.500,384697600.0,392941120.0
259.000,384675200.0,392918240.0
259.500,384697600.0,392941120.0
260.000,384697600.0,392941120.0
260.500,385235200.0,393490240.0
261.000,385257600.0,393513120.0
261.500,385257600.0,393513120.0
262.000,385235200.0,393490240.0
262.500,390163200.0,398523840.0
263.000,390208000.0,398569600.0
263.500,390185600.0,398546720.0
264.000,390185600.0,398546720.0
264.500,402147200.0,410764640.0
265.000,402214400.0,410833280.0
265.500,402192000.0,410810400.0
266.000,402192000.0,410810400.0
266.500,391932800.0,400331360.0
267.000,391910400.0,400308480.0
267.500,391910400.0,400308480.0
268.000,391910400.0,400308480.0
268.500,393881600.0,402321920.0
269.000,393881600.0,402321920.0
269.500,393904000.0,402344800.0
270.000,393881600.0,402321920.0
270.500,397376000.0,405891200.0
271.000,397398400.0,405914080.0
271.500,397376000.0,405891200.0
272.000,397398400.0,405914080.0
272.500,406515200.0,415226240.0
273.000,406515200.0,415226240.0
273.500,406537600.0,415249120.0
274.000,406537600.0,415249120.0
274.500,401923200.0,410535840.0
275.000,401900800.0,410512960.0
275.500,401900800.0,410512960.0
276.000,401923200.0,410535840.0
276.500,396883200.0,405387840.0
277.000,396905600.0,405410720.0
