slice,t_start_s,sched_bps,goodput_bps,wire_bps,goodput_err_pct,wire_err_pct
116,232.0,240034105,240021600.0,245164920.0,-0.0052,2.1375
117,234.0,242941742,242939200.0,248145040.0,-0.001,2.1418
118,236.0,252149248,252145600.0,257548720.0,-0.0014,2.1414
119,238.0,259005641,258994400.0,264544280.0,-0.0043,2.1384
120,240.0,266819781,266817600.0,272535120.0,-0.0008,2.142
121,242.0,274459605,274456000.0,280337200.0,-0.0013,2.1415
122,244.0,279390784,279389600.0,285376520.0,-0.0004,2.1424
123,246.0,309861282,309842400.0,316481880.0,-0.0061,2.1366
124,248.0,316911674,316904000.0,323694800.0,-0.0024,2.1404
125,250.0,343956842,343946400.0,351316680.0,-0.003,2.1398
126,252.0,361982599,361967200.0,369723640.0,-0.0043,2.1385
127,254.0,385522770,385515200.0,393776240.0,-0.002,2.1409
128,256.0,391867388,391865600.0,400262720.0,-0.0005,2.1424
129,258.0,384688655,384692000.0,392935400.0,0.0009,2.1437
130,260.0,385254284,385246400.0,393501680.0,-0.002,2.1408
131,262.0,390195885,390185600.0,398546720.0,-0.0026,2.1402
132,264.0,402198991,402186400.0,410804680.0,-0.0031,2.1397
133,266.0,391905037,391916000.0,400314200.0,0.0028,2.1457
134,268.0,393898221,393887200.0,402327640.0,-0.0028,2.14
135,270.0,397395153,397387200.0,405902640.0,-0.002,2.1408
136,272.0,406531427,406526400.0,415237680.0,-0.0012,2.1416
137,274.0,401909150,401912000.0,410524400.0,0.0007,2.1436
138,276.0,396893330,396894400.0,405399280.0,0.0003,2.1431
139,278.0,396777486,396782400.0,405284880.0,0.0012,2.1441
140,280.0,404929712,404924800.0,413601760.0,-0.0012,2.1416
141,282.0,412756958,412748000.0,421592600.0,-0.0022,2.1406
142,284.0,99363644,99517600.0,101650120.0,0.1549,2.3011
143,286.0,1,50400.0,51480.0,,
