slice,t_start_s,sched_bps,goodput_bps,wire_bps,goodput_err_pct,wire_err_pct
0,0.0,1,0.0,0.0,,
1,2.0,1,0.0,0.0,,
2,4.0,1,0.0,0.0,,
3,6.0,1,0.0,0.0,,
4,8.0,257342601,257208000.0,262719600.0,-0.0523,2.0894
5,10.0,263576371,263569600.0,269217520.0,-0.0026,2.1402
6,12.0,274680377,274668800.0,280554560.0,-0.0042,2.1386
7,14.0,261958615,261962400.0,267575880.0,0.0014,2.1443
8,16.0,246865899,246870400.0,252160480.0,0.0018,2.1447
9,18.0,225881630,225892800.0,230733360.0,0.0049,2.1479
10,20.0,223198193,223193600.0,227976320.0,-0.0021,2.1408
11,22.0,213598322,213600800.0,218177960.0,0.0012,2.144
12,24.0,210764422,210761600.0,215277920.0,-0.0013,2.1415
13,26.0,206427889,206427200.0,210850640.0,-0.0003,2.1425
14,28.0,222404177,222392800.0,227158360.0,-0.0051,2.1376
15,30.0,220128483,220130400.0,224847480.0,0.0009,2.1437
16,32.0,224380033,224369600.0,229177520.0,-0.0046,2.1381
17,34.0,234565778,234561600.0,239587920.0,-0.0018,2.141
18,36.0,240436420,240430400.0,245582480.0,-0.0025,2.1403
19,38.0,248774048,248768800.0,254099560.0,-0.0021,2.1407
20,40.0,261483278,261469600.0,267072520.0,-0.0052,2.1375
21,42.0,266726800,266716800.0,272432160.0,-0.0037,2.139
22,44.0,281679135,281663200.0,287698840.0,-0.0057,2.1371
23,46.0,315408165,315386400.0,322144680.0,-0.0069,2.1358
24,48.0,330520272,330512000.0,337594400.0,-0.0025,2.1403
25,50.0,351437446,351428000.0,358958600.0,-0.0027,2.1401
26,52.0,360656951,360651200.0,368379440.0,-0.0016,2.1412
27,54.0,379863674,379853600.0,387993320.0,-0.0027,2.1401
28,56.0,364511780,364515200.0,372326240.0,0.0009,2.1438
29,58.0,361553325,361558400.0,369306080.0,0.0014,2.1443
30,60.0,372008108,372002400.0,379973880.0,-0.0015,2.1413
31,62.0,386016357,386008000.0,394279600.0,-0.0022,2.1406
32,64.0,384300270,384300000.0,392535000.0,-0.0001,2.1428
33,66.0,383404721,383398400.0,391614080.0,-0.0016,2.1412
34,68.0,387519794,387514400.0,395818280.0,-0.0014,2.1414
35,70.0,392311512,392302400.0,400708880.0,-0.0023,2.1405
36,72.0,391021312,391014400.0,399393280.0,-0.0018,2.1411
37,74.0,378710328,378716800.0,386832160.0,0.0017,2.1446
38,76.0,375507778,375508000.0,383554600.0,0.0001,2.1429
39,78.0,382015756,382009600.0,390195520.0,-0.0016,2.1412
40,80.0,389376025,389373600.0,397717320.0,-0.0006,2.1422
41,82.0,388774680,388780000.0,397111000.0,0.0014,2.1443
42,84.0,395418349,395416000.0,403889200.0,-0.0006,2.1423
43,86.0,393450351,393450400.0,401881480.0,0.0,2.1429
44,88.0,398511911,398501600.0,407040920.0,-0.0026,2.1402
45,90.0,399579399,399582400.0,408144880.0,0.0008,2.1436
46,92.0,398511911,398501600.0,407040920.0,-0.0026,2.1402
47,94.0,400334442,400327200.0,408905640.0,-0.0018,2.141
48,96.0,400507153,400495200.0,409077240.0,-0.003,2.1398
49,98.0,399093129,399084000.0,407635800.0,-0.0023,2.1405
50,100.0,401882896,401878400.0,410490080.0,-0.0011,2.1417
51,102.0,401573992,401576000.0,410181200.0,0.0005,2.1434
52,104.0,408443271,408436000.0,417188200.0,-0.0018,2.141
53,106.0,407633029,407624000.0,416358800.0,-0.0022,2.1406
54,108.0,403014457,403009600.0,411645520.0,-0.0012,2.1416
55,110.0,400207706,400209600.0,408785520.0,0.0005,2.1433
56,112.0,405203751,405204800.0,413887760.0,0.0003,2.1431
57,114.0,407993000,407993600.0,416736320.0,0.0001,2.143
58,116.0,409293720,409292800.0,418063360.0,-0.0002,2.1426
59,118.0,411832031,411824000.0,420648800.0,-0.002,2.1409
60,120.0,415069987,415072000.0,423966400.0,0.0005,2.1434
61,122.0,416916729,416908800.0,425842560.0,-0.0019,2.1409
62,124.0,416518549,416511200.0,425436440.0,-0.0018,2.1411
63,126.0,408110851,408105600.0,416850720.0,-0.0013,2.1415
64,128.0,411936968,411924800.0,420751760.0,-0.003,2.1398
65,130.0,416428203,416432800.0,425356360.0,0.0011,2.144
66,132.0,419723373,419725600.0,428719720.0,0.0005,2.1434
67,134.0,426214076,426204800.0,435337760.0,-0.0022,2.1406
68,136.0,429218836,429217600.0,438415120.0,-0.0003,2.1426
69,138.0,435513564,435500800.0,444832960.0,-0.0029,2.1399
70,140.0,442097675,442086400.0,451559680.0,-0.0026,2.1403
71,142.0,450804514,450805600.0,460465720.0,0.0002,2.1431
72,144.0,454604490,454596800.0,464338160.0,-0.0017,2.1411
73,146.0,466420568,466407200.0,476401640.0,-0.0029,2.1399
74,148.0,478445194,478441600.0,488693920.0,-0.0008,2.1421
75,150.0,483183306,483168000.0,493521600.0,-0.0032,2.1396
76,152.0,491900065,491892800.0,502433360.0,-0.0015,2.1413
77,154.0,495934855,495919200.0,506546040.0,-0.0032,2.1396
78,156.0,497451347,497442400.0,508101880.0,-0.0018,2.141
79,158.0,497793320,497795200.0,508462240.0,0.0004,2.1432
80,160.0,488834736,488829600.0,499304520.0,-0.0011,2.1418
81,162.0,490895267,490901600.0,501420920.0,0.0013,2.1442
82,164.0,490958034,490940800.0,501460960.0,-0.0035,2.1393
83,166.0,481097818,481107200.0,491416640.0,0.002,2.1448
84,168.0,480329065,480328800.0,490621560.0,-0.0001,2.1428
85,170.0,473928603,473939200.0,484095040.0,0.0022,2.1451
86,172.0,466316974,466317600.0,476310120.0,0.0001,2.143
87,174.0,451094585,451108000.0,460774600.0,0.003,2.1459
88,176.0,446839185,446840800.0,456415960.0,0.0004,2.1432
89,178.0,424438795,424440800.0,433535960.0,0.0005,2.1433
90,180.0,409460246,409472000.0,418246400.0,0.0029,2.1458
91,182.0,389995725,390006400.0,398363680.0,0.0027,2.1457
92,184.0,366323072,366329600.0,374179520.0,0.0018,2.1447
93,186.0,343775334,343795200.0,351162240.0,0.0058,2.1488
94,188.0,334576902,334577600.0,341747120.0,0.0002,2.1431
95,190.0,317828599,317839200.0,324650040.0,0.0033,2.1463
96,192.0,292458427,292471200.0,298738440.0,0.0044,2.1473
97,194.0,284131421,284132800.0,290221360.0,0.0005,2.1434
98,196.0,273111988,273117600.0,278970120.0,0.0021,2.145
99,198.0,266139313,266140000.0,271843000.0,0.0003,2.1431
100,200.0,252426013,252431200.0,257840440.0,0.0021,2.145
101,202.0,239970707,239976800.0,245119160.0,0.0025,2.1455
102,204.0,233452424,233452800.0,238455360.0,0.0002,2.143
103,206.0,224910913,224912800.0,229732360.0,0.0008,2.1437
104,208.0,218794263,218797600.0,223486120.0,0.0015,2.1444
105,210.0,206370860,206376800.0,210799160.0,0.0029,2.1458
106,212.0,205810885,205811200.0,210221440.0,0.0002,2.143
107,214.0,200679373,200676000.0,204976200.0,-0.0017,2.1411
108,216.0,193951224,193950400.0,198106480.0,-0.0004,2.1424
109,218.0,192370635,192371200.0,196493440.0,0.0003,2.1432
110,220.0,191372215,191368800.0,195469560.0,-0.0018,2.141
111,222.0,198623855,198615200.0,202871240.0,-0.0044,2.1384
112,224.0,201613281,201611200.0,205931440.0,-0.001,2.1418
113,226.0,208584680,208577600.0,213047120.0,-0.0034,2.1394
114,228.0,215007168,215000800.0,219607960.0,-0.003,2.1398
115,230.0,225174087,225170400.0,229995480.0,-0.0016,2.1412
